REGION,DISTRICT,Region,District,Classification,Latitude,Longitude,Total_Population,Male_15_64,Female_15_64,Poverty_Incidence_pct,Poverty_Intensity_pct,Unemployment_Rate_pct,Illiteracy_Rate_pct,Uninsurance_Rate_pct,Youth_Dependency_Ratio,Sex_Ratio_15_64,Sexually_Active_Pop_pct,DHS_Region,HIV_Prev_Women_pct,HIV_Prev_Men_pct,HIV_Prev_Total_pct,HIV_Awareness_Women_pct,Condom_Use_pct,High_Risk_Sex_pct,Ever_Tested_HIV_pct,Know_Where_Test_pct,Accepting_Attitudes_pct,TB_Incidence_per100k,TB_HIV_CoInfection_pct,TB_Treatment_Success_pct,ART_Coverage_pct,VCT_Uptake_pct,Doctors_per10k,Nurses_per10k,OOP_Expenditure_pct,HIV_TB_Hotspot,Nat_HIV_New_Infections_per1000,Nat_HIV_Positivity_pct,Nat_PLHIV_All_Ages,Nat_HIV_Deaths,Nat_TB_Incidence_per100k,Nat_TB_New_Relapse_Cases,Nat_TB_HIV_Positive_pct,Data_Source_HIV,Data_Source_TB,Data_Source_Socioeconomic,Data_Source_Geometry,LISA_I,LISA_quadrant,LISA_p_sim,LISA_sig,LISA_cluster,BvLISA_I,BvLISA_quadrant,BvLISA_p,BvLISA_sig,BvLISA_cluster,Gi_z,Gi_p,Gi_cluster,GWR_coef_HIV_Prev_Total_pct,GWR_coef_Poverty_Intensity_pct,GWR_coef_Uninsurance_Rate_pct,GWR_coef_Doctors_per10k,GWR_local_R2,RF_Risk,XGB_Risk,LGB_Risk,Stacked_Risk,Ensemble_Risk_Score
GREATER ACCRA,ADENTA MUNICIPAL,GREATER ACCRA,ADENTA MUNICIPAL,,5.624192658333333,-0.2349828662869439,173578.5,55808.77777777778,58485.944444444445,13.344444444444443,43.36016697952631,46.98513285739416,13.156459172332685,40.51034686718933,51.17414088634635,0.9360155823917496,65.98249284508076,,2.6000000000000005,1.3999999999999997,2.0125662613509134,55.5357142857143,43.53333333333333,31.47142857142857,33.33333333333334,60.04999999999999,52.97000000000001,144.0384651859599,14.724363155474377,91.06462041581932,68.16553764783278,37.768511444861595,3.4630035950958793,43.93938905836092,21.756528887584512,0,0.47000000000000003,2.54,330951.4381370897,13133.233733555986,126.0,19992.015333860727,11.956138574806534,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),0.02233892483588307,0,0.6936936936936937,0,Not Significant,0.11514964495348418,1,0.036036036036036036,1,HH (High-High),0.2666067269560327,0.487,Not Significant,7.933066689111952,2.762619422544744,0.1416618125299768,-0.5692562666523041,0.912294145906106,0.013444411764177246,0.010944411764177247,0.008244411764177246,0.011644411764177246,0.007944411764177246
GREATER ACCRA,LEDZOKUKU MUNICIPAL,Greater Accra,Ledzokuku Municipal,Municipal,5.6050983,-0.114493361214251,217304.0,72722.0,76060.0,11.3,42.814360573081366,45.678712370570345,9.680799016586834,37.516554438305775,44.20299337582954,0.9414930515742566,68.46721643411993,Greater Accra,2.6000000000000005,1.3999999999999997,2.0185068508347754,55.535714285714285,43.53333333333334,31.47142857142857,33.33333333333333,60.04999999999999,52.970000000000006,159.5385110872446,12.376166449667405,89.28076981242606,63.93031668018995,43.70833003628636,3.582501887568743,48.88912815311808,24.8211213688544,0,0.47,2.54,329013.69325788144,13079.277513385834,126.0,20070.62372415615,11.933836272320574,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),0.023702332597359228,0,0.6816816816816816,0,Not Significant,0.09021758740505649,0,0.11811811811811812,0,Not Significant,0.2924452737261256,0.418,Not Significant,7.962531959315499,2.7901093389342537,0.1424608110454474,-0.5164085836143597,0.9072508363543588,0.034863504002262964,0.03236350400226297,0.029663504002262968,0.03306350400226297,0.029363504002262966
NORTHERN EAST,CHEREPONI,North East,Chereponi,District,10.1792653999999,0.207987165887793,87176.0,20495.0,22457.0,53.8,44.41564717562067,65.29074188458024,59.33845527743334,30.425827410974932,101.21167878751713,0.9090015715727388,49.27044140589153,Northern (pre 2022),0.7,0.7999999999999999,0.7484285871828286,35.45,19.049996969547074,15.114285714285714,32.971168522657855,30.305394896418065,38.918928348892436,84.81624834931498,13.10526838624147,82.78106776273349,58.48605209892494,23.401491241490284,1.547257665352319,36.375090220734506,31.89587131621593,0,0.47,2.54,331442.0680369702,12868.586103077389,126.0,20199.78469735326,11.94160074548615,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),1.4715644002921724,3,0.001001001001001001,1,LL (Low-Low),-0.07477581599942973,0,0.8748748748748749,0,Not Significant,-2.308951611162192,0.072,Coldspot 95%,7.250899406014538,1.352859614825118,0.1993749279077159,-0.8098204085542355,0.83309119302738,0.0055,0.003,0.0003,0.0037,0.0
UPPER WEST,WA EAST,Upper West,Wa East,District,10.06069,-2.50192,91457.0,25357.0,24624.0,48.7,44.78242199035436,52.63819566958178,58.29694320332082,31.497836945005115,79.27385769733782,1.026548344814541,54.64972610079053,Upper West,2.0044660847949425,1.5989610990891492,1.8128070483895753,43.15,44.27011915765724,15.279999999999998,33.333333333333336,51.44920003667685,40.44460846443862,131.55781331209846,22.027796485310798,84.29106696983789,49.058836401985374,24.381740798788517,1.3411987976703377,33.793202712928974,34.69063149985082,0,0.47,2.5400000000000005,333116.28881107556,12935.087792849208,126.0,20109.716426103525,12.081736881161621,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),0.007465124204217998,0,0.7917917917917918,0,Not Significant,-0.07109128045678141,2,0.007007007007007007,1,LH (Low-High),-0.1646781929565028,0.136,Not Significant,7.85750304992139,1.1408508766619383,0.2083028730744392,-0.4227062481027901,0.8151556121389614,0.0055,0.003,0.0003,0.0037,0.0
UPPER WEST,WA MUNICIPAL,Upper West,Wa Municipal,Municipal,10.0623261,-2.5054273,200672.0,60148.0,62830.0,16.5,43.35936204086782,56.3434845999985,31.3950290463047,10.925152077573856,59.58118688728897,0.985759730798753,61.28308882155956,Upper West,2.016716522640458,1.6113461330356942,1.7996669128231693,43.15,44.49707058483386,15.279999999999998,33.333333333333336,51.131049581546065,40.47485789395289,144.53536417919057,11.445788751414643,94.04007105109378,78.14470818431964,41.04130770906773,3.5555164111196893,51.94427075001307,22.721760015713958,0,0.47,2.54,328530.99738894857,12918.414232896866,126.0,19999.929146380466,11.974410743764704,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),0.00877634640677592,0,0.7967967967967968,0,Not Significant,-0.08064413039595474,2,0.009009009009009009,1,LH (Low-High),-0.17752718893439798,0.009,Not Significant,7.729822504117592,1.2765432468008726,0.2109526734347042,-0.2092502267100223,0.8262706665055346,0.0055,0.003,0.0003,0.0037,0.0
NORTHERN,SABOBA,Northern,Saboba,District,9.70870525,0.196098328672698,95683.0,24741.0,26074.0,46.0,45.09280737364768,59.57997410447554,46.14204104152487,24.92808285348822,82.40699056623843,0.9267809563055011,53.10765757762612,Northern (pre 2022),0.6952021974696034,0.8005077621361424,0.7528534139827299,35.63074902858336,19.143640669515662,15.114285714285714,33.42067421641872,30.676591284720246,38.557939678185555,88.8093061216448,7.45795931761719,86.38774191708752,51.985080356067634,24.67547413949783,1.6097861566196967,31.98825786407869,28.67468848692403,0,0.4672300979883674,2.5561418415035297,332718.80964955996,13000.174794337603,126.0,20107.54562905021,12.033816012810078,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),1.7655405045900505,3,0.0,1,LL (Low-Low),1.0792105143896147,3,0.018018018018018018,1,LL (Low-Low),-2.517894932377956,0.266,Coldspot 95%,7.311900493686225,1.4181054704152167,0.1994360831054253,-0.7268723830476098,0.8422299817419646,0.0055,0.003,0.0003,0.0037,0.0
UPPER WEST,JIRAPA,UPPER WEST,JIRAPA,,10.331309325,-2.5010639733851683,90499.33333333331,25148.33333333333,26407.0,38.31666666666667,45.22234247678351,58.703322024013396,49.7258559297632,24.57383774038096,69.75410945321681,0.9899304938258583,55.87731189798481,,2.0159987843221696,1.6144381054223431,1.7968461080544298,43.15,44.54667041020432,15.28,33.333333333333336,51.016355397309646,40.5856789481802,145.7596566523359,14.734971466760772,84.53797076448613,57.42385213350723,31.621843603796332,2.0724150398656085,33.725357036117,29.576416293335896,0,0.4699999999999999,2.54,329753.7142856755,12924.262791432417,126.0,20020.272806620964,11.922189855265316,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),0.008853068883796384,0,0.7957957957957958,0,Not Significant,-0.06301577224483806,0,0.05405405405405406,0,Not Significant,-0.16797861989872687,0.085,Not Significant,7.803358671602492,1.1347775412432868,0.2099104043976437,-0.537393563105641,0.8184201004290942,0.0055,0.003,0.0003,0.0037,0.0
NORTHERN,GUSHEGU,NORTHERN,GUSHEGU,,9.373536909090909,-0.2253629781244969,102630.90909090907,25133.0,27125.090909090908,47.32727272727273,44.7968998416943,55.21573101599104,55.56926712848275,43.4497868370577,91.20892058396211,0.9232216669500322,50.71755224866092,,0.6956354128939662,0.7982783094427125,0.7593887864141168,35.33149230357848,19.157574198209552,15.114285714285716,33.11537835213641,30.88116285249837,38.67779130508282,95.51841001423044,10.987127812718132,86.32788233246875,53.81471880257373,23.72080423142892,1.7050784798391572,34.010606883978056,29.467752307570372,0,0.4699723968528106,2.564432750741335,329488.7280174003,13115.282117234497,126.0,19968.957673455363,12.113604160760053,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),1.7540075905035932,3,0.0,1,LL (Low-Low),0.7452946929579187,0,0.1011011011011011,0,Not Significant,-2.3680670968826325,0.187,Coldspot 95%,7.419764855542792,1.3635683912688863,0.2025754571077462,-0.677168144008526,0.8268264079744903,0.0055,0.003,0.0003,0.0037,0.0
UPPER WEST,SISSALA WEST,Upper West,Sissala West,District,10.7467085,-2.29346951572635,63828.0,16844.0,17554.0,32.3,45.54978972410266,61.145344946739705,46.07568112679449,9.742839229710725,79.93411028666205,0.9577187156127174,53.8917089678511,Upper West,2.0109940898052447,1.6123176921609825,1.8180261420432937,43.15,44.057557802143535,15.279999999999998,33.333333333333336,51.248730688357135,40.4798833115558,130.75242661456883,17.716139360276888,83.9652344962706,57.113278143430975,27.373914401224077,2.199891788886929,30.112497050756147,35.572851489692496,0,0.47,2.54,328310.01037181594,12894.962382391956,126.0,19847.984147303705,11.96369752566047,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),0.0067443017085707865,0,0.8028028028028028,0,Not Significant,-0.05312065785263749,2,0.03203203203203203,1,LH (Low-High),-0.15714207196461993,0.117,Not Significant,7.909330242336548,1.0535158414018932,0.2093864284419191,-0.7139183156867239,0.8140578919552917,0.007353820598006645,0.004853820598006644,0.0021538205980066445,0.005553820598006645,0.0018538205980066446
NORTHERN,NANUMBA NORTH,NORTHERN,NANUMBA NORTH,,9.373536909090909,-0.2253629781244969,102630.90909090907,25133.0,27125.090909090908,47.32727272727273,45.873708721259476,55.275275665252465,55.52586171195081,38.66288214982984,91.29129834400946,0.9277547555795047,50.71755224866092,,0.6960094373613351,0.7916404535730632,0.7541179001547029,35.88591964892402,19.047683232287735,15.114285714285716,33.211787999827436,30.673423536760648,39.09088942193751,95.51841001423044,11.839665931477883,84.34745690035005,51.66607871975139,23.450685018892173,1.7176707565171925,34.871604098779734,28.456241973371895,0,0.46631658906642026,2.5465769892581394,326297.27656292275,13143.465492922003,126.0,19859.983239000074,11.883057110802104,DHS Ghana 2003 (regional) + WHO GHO (national),WHO Global TB Programme (national 2013-2024),Ghana Statistical Service 2021 Census,Ghana 260-District Shapefile (post-2018),1.7622682225612787,3,0.0,1,LL (Low-Low),0.7488047149591938,0,0.1011011011011011,0,Not Significant,-2.373253476160295,0.03,Coldspot 95%,7.869436552225203,1.6582174532415468,0.1998009461749254,-0.5028293739058577,0.8710145519918094,0.0055,0.003,0.0003,0.0037,0.0
